title_name,title_nutrient
환타 오렌지,1인분 (355ml)당 - 칼로리: 156kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 0.00g
스파클링 레몬에이드,1회 (350ml)당 - 칼로리: 184kcal | 지방: 0.00g | 탄수화물: 46.00g | 단백질: 0.00g
블루베리에이드,1회 (190ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
번 인텐스,1캔 (250ml)당 - 칼로리: 156kcal | 지방: 0.00g | 탄수화물: 38.00g | 단백질: 1.00g
카프리썬 사파리,1봉지 (200ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
자연은 내사랑 토마토,1캔 (180ml)당 - 칼로리: 65kcal | 지방: 0.70g | 탄수화물: 16.00g | 단백질: 0.00g
핫식스 (355ml),1캔 (355ml)당 - 칼로리: 175kcal | 지방: 0.00g | 탄수화물: 43.00g | 단백질: 0.00g
훼미리 알로에,1병 (180ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 20.00g | 단백질: 0.00g
제주감귤,1컵 (200ml)당 - 칼로리: 96kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g
콜라 소다 (카페인함유),1 캔 355 ml당 - 칼로리: 136kcal | 지방: 0.07g | 탄수화물: 35.18g | 단백질: 0.26g
콜라 또는 페퍼소다 (카페인과 와아스파르테임 포함),1 캔 355 ml당 - 칼로리: 4kcal | 지방: 0.00g | 탄수화물: 0.53g | 단백질: 0.43g
오렌지100 오리지널,1회 (200ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 1.00g
허니 유자,1병 (280ml)당 - 칼로리: 140kcal | 지방: 0.00g | 탄수화물: 35.00g | 단백질: 0.00g
웰치스,1캔 (355g)당 - 칼로리: 184kcal | 지방: 0.00g | 탄수화물: 46.00g | 단백질: 0.00g
포도100 (180ml),1병 (180ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 22.00g | 단백질: 0.00g
